path,labels
audio0001,मैले पानी पियो।
audio0002,उसले खाना खायो।
audio0003,म कलेज जान्छु।
audio0004,तपाईंलाई कस्तो छ?
audio0005,हामीलाई समय छैन।
audio0006,उसले पुस्तक पढ्यो।
audio0007,तपाईंले के गर्नु भयो?
audio0008,म घर जान चाहन्छु।
audio0009,उनीहरूले खेल खेलें।
audio0010,मैले नयाँ किताब किनें।
audio0011,तपाईं के गर्दै हुनुहुन्छ?
audio0012,म काम गर्न जाँदैछु।
audio0013,उसले गीत गाएको छ।
audio0014,तपाईलाई मनपर्ने रंग के हो?
audio0015,उनीहरूले मोजा लगाएका छन्।
audio0016,म नयाँ जुत्ता किन्दै छु।
audio0017,उसले चित्र बनाएको छ।
audio0018,तपाईलाई कस्तो खाजाको मन छ?
audio0019,म किताब पढ्दैछु।
audio0020,उनीहरुले नाचेको देखे।
audio0021,म केहि भन्न चाहन्छु।
audio0022,उसले मलाई सन्देश पठाएको छ।
audio0023,म स्कूल जान चाहन्छु।
audio0024,हामीसँग समय छैन।
audio0025,उसले मलाई मद्दत गर्यो।
audio0026,म लंचमा जाँदैछु।
audio0027,उनीहरूले मलाई विश्वास गरेका छन्।
audio0028,तपाईले के काम गर्नुभएको छ?
audio0029,म त्यसको बारेमा जान्न चाहन्छु।
audio0030,म रमाइलो गर्दैछु।
audio0031,उसले मलाई टेलिफोन गरेको छ।
audio0032,हामी आफ्नो परिवारसँग बस्छौं।
audio0033,म नयाँ गीत सिक्दैछु।
audio0034,उहाँले मलाई मद्दत गर्नुभएको छ।
audio0035,उनीहरूले त्यो कुरा भने।
audio0036,तपाईको मनपर्ने खेल के हो?
audio0037,म आज साँझ बाहिर जान्छु।
audio0038,उनीहरूले मसँग कुरा गरे।
audio0039,उसले मसँग उपहार पठाएको छ।
audio0040,म कफी पिउँदैछु।
audio0041,हामीले नयाँ योजना बनाएका छौं।
audio0042,उहाँले मलाई राम्रो प्रतिक्रिया दिएका छन्।
audio0043,म तपाईंलाई सम्झन्छु।
audio0044,उनीहरूले मसँग गप गर्दै छन्।
audio0045,म अर्को हप्ता यात्रा गर्नेछु।
audio0046,मैले नयाँ चलचित्र हेरेँ।
audio0047,हामीको कार्यक्रम आगामी शनिबार हो।
audio0048,म माछा पकाउने छु।
audio0049,मैले नया स्मार्टफोन किनें।
audio0050,तपाईलाई के मनपर्छ?
audio0051,हामी एकसाथ खाना खानेछौं।
audio0052,उसले मलाई लेख पठायो।
audio0053,म नयाँ अध्ययन विधि अपनाउँछु।
audio0054,उनीहरूले मलाई उपहार दिएका छन्।
audio0055,हामी एकसाथ यात्रा जानेछौं।
audio0056,मैले पुस्तक पढेर समय बिताएँ।
audio0057,तपाईले कस्तो खाना बनाउनुभयो?
audio0058,मैले नयाँ साथी बनाएको छु।
audio0059,म कलर पेनसँग चित्र बनाउँदैछु।
audio0060,उसले मलाई धोका दिएको छ।
audio0061,म लामो समयपछि घर फर्केको छु।
audio0062,उनले मसँग साँचो बताएको छ।
audio0063,म संगीत सुन्दैछु।
audio0064,तपाईंलाई कुन चलचित्र मन पर्छ?
audio0065,म विभिन्न पुस्तकहरू पढ्ने गर्छु।
audio0066,उनिहरूले मलाई सिकाएका छन्।
audio0067,मैले दुई घण्टा काम गरे।
audio0068,तपाईंले आज के खाएको छ?
audio0069,हामीसँग दुई कुकुर छन्।
audio0070,मैले नयाँ खेलको अभ्यास गरेको छु।
audio0071,म घरमै बस्छु।
audio0072,उनीहरूले मलाई नयाँ कुरा सिकाए।
audio0073,म ताजा फलहरू खाएको छु।
audio0074,तपाईंले कहाँ जानुभयो?
audio0075,म नेपाली भाषा सिक्दैछु।
audio0076,उनले मलाई पुस्तक दिनुभएको छ।
audio0077,म बाहिर जाँदैछु।
audio0078,मैले फिल्म हेरेर मजा लिएको छु।
audio0079,उनीहरूले मलाई सम्मान दिएका छन्।
audio0080,म आज आफ्ना साथीलाई भेट्नेछु।
audio0081,हामी एकसाथ योजना बनाउँदैछौं।
audio0082,मैले उसलाई मद्दत गरेको छु।
audio0083,म नया प्रोजेक्ट सुरू गर्नेछु।
audio0084,तपाईंलाई यो कस्तो लाग्छ?
audio0085,म आफैंलाई राम्रो महसूस गर्दैछु।
audio0086,उसले मलाई विश्वास दिलाएको छ।
audio0087,म अगाडिको यात्रा तयारी गर्दैछु।
audio0088,हामी हर्षित छौं।
audio0089,उसले मलाई मिठो कुरा भने।
audio0090,म नयाँ चश्मा किन्नेछु।
audio0091,उनले मलाई त्यो कुरा सिकाएका छन्।
audio0092,म त्यो कुरा गर्न चाहन्छु।
audio0093,तपाईंको विचार के हो?
audio0094,म ती किताबहरू पढ्न चाहन्छु।
audio0095,मैले नयाँ सीप सिकेको छु।
audio0096,हामी सँगै समय बिताउँछौं।
audio0097,म कस्तो देखिन्छु?
audio0098,उनले मलाई केही भने।
audio0099,म यहाँ अध्ययन गर्दैछु।
audio0100,तपाईंलाई मद्दत चाहिए भने भन्नुहोस्।
audio0101,मैले नयाँ कार किनें।
audio0102,उसले मलाई मिठो चिया दिए।
audio0103,म पार्क जान चाहन्छु।
audio0104,तपाईंले कस्तो फिल्म मनपर्छ?
audio0105,मैले बिभिन्न स्थानमा यात्रा गरेको छु।
audio0106,म चाँडै फर्कनेछु।
audio0107,उनीहरूले मलाई सम्मान दिएका छन्।
audio0108,म आफ्नो भविष्य बारे सोचिरहेको छु।
audio0109,उसले मलाई मद्दत गरेको छ।
audio0110,म नयाँ सीप सिक्दैछु।
audio0111,हामी छुट्टीमा जाँदैछौं।
audio0112,म खेल खेल्न जान चाहन्छु।
audio0113,उनले मलाई आफ्नो घर देखायो।
audio0114,तपाईंको यात्रा कस्तो रह्यो?
audio0115,म रमाइलो गर्दैछु।
audio0116,तपाईंले मलाई देख्नुभयो?
audio0117,म बिचार गर्दैछु।
audio0118,तपाईंलाई यात्रा मनपर्छ?
audio0119,म लन्चका लागि बाहिर जान्छु।
audio0120,उहाँले मलाई किताब दिए।
audio0121,म फिल्म हेर्न जाँदैछु।
audio0122,उसले मलाई नयाँ कुरा सिकायो।
audio0123,म गार्डनमा काम गर्दैछु।
audio0124,उनले मसँग भविष्यको योजना बारे कुरा गरे।
audio0125,म आज साँझ बाहिर जान चाहन्छु।
audio0126,तपाईंलाई कस्तो संगीत मनपर्छ?
audio0127,म साँझ पार्टीमा जान्छु।
audio0128,हामीले नयाँ योजना बनाएका छौं।
audio0129,उसले मलाई भन्न चाह्यो।
audio0130,म नयाँ अध्ययन विधि अपनाउँछु।
audio0131,म उही स्थानमा फिर्ता जानेछु।
audio0132,उनले मलाई केही समय अघि भेटेका थिए।
audio0133,तपाईंलाई के मनपर्छ?
audio0134,म व्यस्त छु।
audio0135,उनले मसँग आफ्नो अनुभव बाँडे।
audio0136,म नयाँ गेम खेल्न चाहन्छु।
audio0137,तपाईंले मलाई मद्दत गर्नुभयो।
audio0138,म भविष्यमा धेरै गर्न चाहन्छु।
audio0139,म तपाईलाई धन्यवाद दिन चाहन्छु।
audio0140,उसले मलाई उपहार दिएको छ।
audio0141,म सबैसँग भेट्न चाहन्छु।
audio0142,म एक्लै जान चाहन्छु।
audio0143,तपाईं कस्तो काम गर्दै हुनुहुन्छ?
audio0144,मैले विद्यालयको काम समाप्त गरेको छु।
audio0145,उनीहरूले मलाई धेरै सहयोग गरे।
audio0146,म किताबको बारेमा सोच्दैछु।
audio0147,म रमाइलो गर्दै छु।
audio0148,तपाईंलाई कुन मौसम मनपर्छ?
audio0149,मैले सस्तो समान किन्ने निर्णय गरें।
audio0150,म केही नयाँ गर्न चाहन्छु।
audio0151,हामी एक साथ काम गर्दैछौं।
audio0152,उसले मलाई केही बताउन चाहन्छ।
audio0153,म केहि नयाँ कुरा सिक्न चाहन्छु।
audio0154,तपाईंलाई पुस्तकहरूको बारेमा के थाहा छ?
audio0155,मैले फोनको लागि नयाँ कभर किनें।
audio0156,म धेरै मेहनत गर्दैछु।
audio0157,म फिल्म हेर्न जाँदैछु।
audio0158,तपाईंको घर कहाँ छ?
audio0159,मैले मलाई मनपर्ने खेल खेले।
audio0160,म समय बचाउन प्रयास गर्दैछु।
audio0161,म कफी पिउँदैछु।
audio0162,हामी सबैले एक साथ काम गर्न सक्छौं।
audio0163,म पुस्तक पढ्न चाहन्छु।
audio0164,उहाँले मलाई नयाँ योजना सुनाएका छन्।
audio0165,मैले नयाँ मोबाइल फोन किनें।
audio0166,म सँगै समय बिताउन चाहन्छु।
audio0167,तपाईंलाई के मनपर्छ?
